Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,4285.349152565002,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_1_trace,42.69381523132324,Pass,4358.068949699402,30000052,30415807,0.9863,5950800,467476,0.1956,0.0154,7.8557%,15.5825,26713119,57.1433,890.4358,15000052,15221173,0.9855,2965791,234779,0.1948,0.0154,7.9162%,15.6519,13379530,56.9878,891.9656
fp,fp_2_trace,113.98153591156006,Pass,6160.151681900024,30000052,6415704,4.6760,2471756,90647,0.3853,0.0141,3.6673%,3.0216,2914883,32.1564,97.1626,15000052,3180489,4.7163,1232306,46957,0.3875,0.0148,3.8105%,3.1305,1477445,31.4638,98.4960
fp,fp_3_trace,223.02585411071777,Pass,6977.569992303848,30000052,12814653,2.3411,1539997,64393,0.1202,0.0050,4.1814%,2.1464,6820697,105.9230,227.3562,15000052,6392963,2.3463,770204,32660,0.1205,0.0051,4.2404%,2.1773,3437733,105.2582,229.1814
fp,fp_4_trace,106.30326175689697,Pass,6040.471229791641,30000052,7164177,4.1875,2573337,74770,0.3592,0.0104,2.9056%,2.4923,1848536,24.7230,61.6178,15000052,3071631,4.8834,1285217,46679,0.4184,0.0152,3.6320%,3.1119,863991,18.5092,57.5992
fp,fp_5_trace,332.9483413696289,Pass,7925.750173807144,40000016,7570264,5.2838,740391,37480,0.0978,0.0050,5.0622%,0.9370,1287156,34.3425,32.1789,20000016,3749836,5.3336,370890,18658,0.0989,0.0050,5.0306%,0.9329,642448,34.4328,32.1224
fp,fp_6_trace,63.58891201019287,Pass,6813.622505426407,40000016,6294935,6.3543,7034423,68349,1.1175,0.0109,0.9716%,1.7087,1989332,29.1055,49.7333,20000016,3018506,6.6258,3515104,29968,1.1645,0.0099,0.8525%,1.4984,902139,30.1034,45.1069
fp,fp_7_trace,159.0718936920166,Pass,7855.67996096611,40000016,7871115,5.0819,4716883,44670,0.5993,0.0057,0.9470%,1.1167,1919513,42.9710,47.9878,20000016,3717442,5.3800,2394520,19252,0.6441,0.0052,0.8040%,0.9626,826113,42.9105,41.3056
fp,fp_8_trace,211.10272789001465,Pass,7495.021029472351,40000016,13297923,3.0080,2322129,336166,0.1746,0.0253,14.4766%,8.4041,7445178,22.1473,186.1294,20000016,7430038,2.6918,1347173,232313,0.1813,0.0313,17.2445%,11.6156,5124592,22.0590,256.2294
fp,fp_9_trace,143.53112411499023,Pass,7867.442528009415,40000016,16719593,2.3924,5012816,182155,0.2998,0.0109,3.6338%,4.5539,11930862,65.4984,298.2714,20000016,8030550,2.4905,2500178,98078,0.3113,0.0122,3.9228%,4.9039,5724146,58.3632,286.2071
fp,fp_10_trace,270.7881956100464,Pass,7638.038270711899,40000016,7192410,5.5614,3492402,118214,0.4856,0.0164,3.3849%,2.9553,2288450,19.3585,57.2112,20000016,3549415,5.6347,1748758,58334,0.4927,0.0164,3.3357%,2.9167,1122095,19.2357,56.1047
fp,fp_11_trace,297.7953281402588,Pass,7690.935883760452,40000016,7767477,5.1497,3526510,46510,0.4540,0.0060,1.3189%,1.1627,868780,18.6794,21.7195,20000016,3756020,5.3248,1776440,22454,0.4730,0.0060,1.2640%,1.1227,414333,18.4525,20.7166
